fire,state,date,filename,url
0262-FERRY,OR,2025-06-15,0262-FERRY-OR-dNBR_20250615_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250615_235959.tif
0262-FERRY,OR,2025-06-16,0262-FERRY-OR-dNBR_20250616_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250616_235959.tif
0262-FERRY,OR,2025-06-17,0262-FERRY-OR-dNBR_20250617_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250617_235959.tif
0262-FERRY,OR,2025-06-18,0262-FERRY-OR-dNBR_20250618_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250618_235959.tif
0262-FERRY,OR,2025-06-19,0262-FERRY-OR-dNBR_20250619_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250619_235959.tif
0262-FERRY,OR,2025-06-20,0262-FERRY-OR-dNBR_20250620_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250620_235959.tif
0262-FERRY,OR,2025-06-21,0262-FERRY-OR-dNBR_20250621_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250621_235959.tif
0262-FERRY,OR,2025-06-22,0262-FERRY-OR-dNBR_20250622_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250622_235959.tif
0262-FERRY,OR,2025-06-23,0262-FERRY-OR-dNBR_20250623_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250623_235959.tif
0262-FERRY,OR,2025-06-24,0262-FERRY-OR-dNBR_20250624_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250624_235959.tif
0262-FERRY,OR,2025-06-25,0262-FERRY-OR-dNBR_20250625_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250625_235959.tif
0262-FERRY,OR,2025-06-26,0262-FERRY-OR-dNBR_20250626_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250626_235959.tif
0262-FERRY,OR,2025-06-27,0262-FERRY-OR-dNBR_20250627_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250627_235959.tif
0262-FERRY,OR,2025-06-28,0262-FERRY-OR-dNBR_20250628_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250628_235959.tif
0262-FERRY,OR,2025-06-29,0262-FERRY-OR-dNBR_20250629_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250629_235959.tif
0262-FERRY,OR,2025-06-30,0262-FERRY-OR-dNBR_20250630_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250630_235959.tif
0262-FERRY,OR,2025-07-01,0262-FERRY-OR-dNBR_20250701_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250701_235959.tif
0262-FERRY,OR,2025-07-02,0262-FERRY-OR-dNBR_20250702_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250702_235959.tif
0262-FERRY,OR,2025-07-03,0262-FERRY-OR-dNBR_20250703_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250703_235959.tif
