event_id,incid_name,ig_year,km2,low_t,mod_t,high_t,asmnt_type,irwinid,include,note
CA3959712021620240902,BEAR,2024,13.7,64,120,187,Emergency,98863999-FA09-4779-A393-E69EAF8E4351,True,
CA3987612137920210714,DIXIE,2021,3965.1,70,304,570,Extended,E9DB628D-DFB7-4C85-BCD6-1254574D946B,True,
CA3983912034520210702,SUGAR,2021,438.6,110,450,650,Initial,33088F36-F802-4500-86A4-82DA6A62425F,True,
CA3968112017120200814,LOYALTON,2020,184.1,40,309,600,Initial,0896AFFE-7839-40D4-BA6D-407F47E4CAA6,True,
CA3983312003820200802,NORTH,2020,138.1,45,320,560,Initial,CD8D2F6A-BA50-43CF-A62F-894091D839CC,True,
NV3974111996820201005,BACCARAT,2020,41.1,15,350,9999,Initial,A3E0E911-3411-46A6-8928-97727DB86BB9,True,
NV3957611991320200627,POEVILLE ROAD,2020,12.8,95,370,9999,Initial,62E47A68-4054-4EC7-B96E-C467EB196FA4,True,
CA4003412011520201117,LAURA 2,2020,12.5,10,9999,9999,Initial,640FD5AB-A721-41FB-97AF-64D45210D561,True,
NV3986111961620180727,PERRY,2018,217.5,100,272,490,Initial,D49273B7-17E6-409B-BBCA-D0AA951AD5B0,True,
NV3976211925220170703,TRUCKEE,2017,398.3,25,9999,9999,Initial,77F084EA-27DD-4B97-BD64-9E7BBD36802E,True,
NV4027311946420170830,TOHAKUM 2,2017,375.2,25,320,9999,Initial,E5FDC18C-AF74-4CAB-8039-7E4070F5D0F0,True,
CA4007312014520170711,LONG VALLEY,2017,325.6,50,300,9999,Initial,68535303-069F-40FD-980F-FB66F9C87B4F,True,
NV3958711968320170703,EARTHSTONE,2017,142.9,50,300,9999,Initial,47CF7532-8B84-43EF-9D96-0D6592F902C6,True,
CA4039512024220170829,MUD,2017,24.4,50,9999,9999,Initial,A5311EC3-225E-4EB8-A9AB-8419AE8459E3,True,
NV3981911931420170620,HOLLYWOOD,2017,21.5,25,320,9999,Initial,5CE5C706-49DA-4891-AD34-6C4606976245,True,
NV3976011968620170704,WINNEMUCCA RANCH,2017,16.8,50,300,9999,Initial,F2CD3F1B-D7B3-40B2-B81E-1A36E6FC27CA,True,
NV3994811972420160729,TULE,2016,143.0,50,260,9999,Initial,EB7908D0-C305-45B7-848D-391F9F90FF37,True,
NV4004911989320160729,ANDERSON,2016,62.1,50,243,470,Initial,20657BF9-F511-48E4-802C-4AD1ABD1F18D,True,
NV4002011992720160729,SAGE,2016,16.2,50,249,480,Initial,EBB9101D-B439-4E92-A784-34BB1B5DE029,True,
NV3992511994620160729,SEVEN LAKES,2016,12.6,50,360,9999,Initial,9C6C5DE8-F96D-4D71-9556-B6AED79948AE,True,
NV3953511969420160706,S FIRE,2016,10.8,50,259,500,Initial,665E9100-238C-421D-8934-332AF7A32913,True,
NV3992012001620130701,RED ROCK,2013,22.2,38,306,9999,Initial,,True,
CA4062112015220120812,RUSH,2012,1241.6,50,302,580,Initial,,True,
NV3973911926920110729,NARROWS,2011,14.4,45,189,9999,Initial,,True,
NV3997911943320110824,GREAT STONE,2011,10.2,40,181,9999,Initial,,True,
NV3976511997520090715,RED ROCK,2009,46.0,120,312,550,Initial,,True,
NV4021111945420090801,WNA 11,2009,10.5,70,212,400,Initial,,True,
NV3993811994520080729,GOOSEBERRY,2008,13.0,50,205,400,Initial,,True,
NV4023011971220070717,SAND PASS,2007,74.1,100,300,9999,Initial,,True,
CA3968412005120070710,BALLS CANYON,2007,18.4,140,335,580,Initial,,True,
NV3952111942820060623,OLINGHOUSE,2006,29.2,50,240,465,Initial,,True,
NV4000811996920060806,BOOTLEGGER,2006,26.3,25,375,9999,Initial,,True,
NV4042111932720060627,POITO,2006,24.2,80,240,290,Initial,,True,
NV3955211994120060811,VERDI (STONE RIDGE),2006,23.2,60,290,550,Initial,,True,
NV3951411929020060626,VIIRGINIA,2006,16.3,60,198,380,Initial,,True,
NV4034011935620060625,EMPIRE,2006,12.4,80,210,270,Initial,,True,
CA3976112013320030720,CHILCOOT COMPLEX,2003,23.3,45,203,400,Initial,,True,
NV4003611999320010809,FISH,2001,88.5,60,209,400,Initial,,True,
NV3998911965720010524,WARRIOR,2001,28.9,90,325,9999,Initial,,True,
NV3949111933320000629,RAMSEY,2000,32.4,120,191,325,Initial,,True,
NV3981111977920000628,ANTELHUNG,2000,29.9,20,260,9999,Initial,,True,
NV3971611978420000702,UNNAMED,2000,15.9,20,260,9999,Initial,,True,
NV3974111937320000629,JONES,2000,12.2,10,235,9999,Initial,,True,
NV3973711994020000801,RED ROCK 2,2000,11.9,80,250,9999,Initial,,True,
CA3988012002520190824,LONG VALLEY,2019,9.9,45,322,620,Initial,3E2ABC8C-2CA3-4CC6-90BA-7E09F67B44E4,False,
NV3963011978220190713,JASPER,2019,4.9,45,300,9999,Initial,E5235D35-E3F1-4B1B-A88F-82AB902B0FAB,False,
NV4043311933220170709,LIMBO,2017,7.7,50,9999,9999,Initial,E70E9C7F-1941-4992-A00D-C7C49350114B,False,
NV3954311969620170806,PRATER,2017,6.4,60,390,9999,Initial,22259FA2-2B06-4055-9A89-0A700B0C70F8,False,
NV3964311995020170714,COLD SPRINGS,2017,6.3,15,350,9999,Initial,5DE64DC4-6FE8-4014-80E4-B0BFE3F82316,False,
CA3978012014320170806,CHILCOOT,2017,4.2,40,330,9999,Initial,16C02EBC-C9C1-4895-8625-A901E0D14108,False,
NV3998811981520160728,VirginiaMountainsComplexNV,2016,287.6,0,0,0,,,False,
NV3986511990220160729,ROCK,2016,9.7,50,310,9999,Initial,4BAAA7E1-7BC0-4C01-8647-9ECB6549117F,False,
NV3974111995220160807,JACKPOT,2016,6.7,50,300,9999,Initial,27687124-ECF1-44E5-81D8-A3E86DF04DEB,False,
NV3954111948520160721,SHOOTING RANGE,2016,6.3,50,280,9999,Initial,C141F159-21AF-4440-A271-E85F6AA6B080,False,
NV3951511964820111123,LOCKWOOD,2011,8.9,60,224,9999,Initial,,False,
NV3991711980520110730,WILDCAT,2011,8.5,55,234,450,Initial,,False,
CA3993412005820100724,CONSTANTIA,2010,6.1,50,237,460,Initial,,False,
NV3992111999320090715,TRAILER 1,2009,5.8,50,205,400,Initial,,False,
NV3970811998620081026,PETERSON,2008,5.0,40,250,9999,Initial,,False,
NV3955511958720070518,MUSTANG,2007,6.1,75,160,300,Initial,,False,
CA3966612007920060625,BALLS CANYON,2006,7.9,60,289,550,Initial,,False,
CA3963512032120050824,HARDING,2005,9.5,80,205,380,Extended,,False,
NV3954811997920040630,MID-BULL,2004,5.1,10,190,400,Extended,,False,
NV3956611988420030714,ROBB,2003,9.4,70,105,9999,Extended,,False,
NV4046411955220010810,BULL BASIN,2001,7.6,80,325,9999,Initial,,False,
CA4042012031420010808,SHAFFER,2001,4.9,45,176,350,Initial,,False,
NV3959111961420000628,CANOE,2000,8.3,80,254,470,Initial,,False,
CA4010312006820000629,TURTLE,2000,5.0,75,160,300,Initial,,False,
NV3955111964820000625,8TH HOLE,2000,5.0,100,250,450,Initial,,False,
NV3958211987320000709,SENECA,2000,4.3,120,258,450,Initial,,False,
NV4003311984019990823,FISH COMPLEX (FISH SPRINGS),1999,190.3,25,174,360,Initial,,False,
NV3951011950319990724,UNNAMED,1999,63.5,50,330,9999,Initial,,False,
NV3956911959919990704,PAH RAH,1999,40.8,110,281,500,Initial,,False,
NV4033611985119990720,DRY,1999,39.5,0,200,9999,Initial,,False,
NV3963411947819990803,WILCOX,1999,29.2,60,155,300,Initial,,False,
NV3977611985219990824,RED ROCK,1999,28.8,20,188,390,Initial,,False,
NV3965111978019990624,RESERVOIR,1999,19.4,50,183,360,Initial,,False,
CA3981512008819990906,CEMETERY,1999,15.2,120,323,570,Initial,,False,
NV4024511967719980718,BIA7,1998,43.7,75,9999,9999,Initial,,False,
NV3949111994219960805,BELLI,1996,27.0,140,306,525,Extended,,False,
CA3985012024819960725,MADALANNA,1996,18.2,100,264,475,Extended,,False,
NV3983211945019960708,NIXON,1996,8.8,150,274,460,Initial,,False,
CA3960112019319940816,COTTONWOOD,1994,193.9,25,249,500,Extended,,False,
NV3980911996619940714,HALLELUJAH,1994,52.8,50,300,550,Initial,,False,
CA3951712003719940804,CRYSTAL,1994,29.9,25,304,600,Extended,,False,
CA4001412013619940603,DOYLE,1994,8.5,10,190,400,Extended,,False,
NV4042011955819940716,RODEO,1994,4.5,75,214,400,Initial,,False,
CA3969012006719900803,TOF 33,1990,4.2,20,258,520,Initial,,False,
NV3990211977719880722,OLDS RNCH,1988,12.3,90,228,415,Initial,,False,
CA4010812030519870830,CLARK,1987,158.6,125,260,450,Extended,,False,
CA3968012006219870613,BALLS CANYON 2,1987,5.2,115,229,400,Initial,,False,
CA3975012017819870613,USFS 10,1987,5.1,50,178,350,Initial,,False,
