event_id,incid_name,ig_date,ig_year,incid_type,km2,map_prog,asmnt_type,low_t,mod_t,high_t,threshold_scale,dnbr_offst,evt_vintage,have_bundle,thresholds_ok,include,lon,lat,region
NV4094111678720170709,ROOSTERS COMB,2017-07-09,2017,Wildfire,880.2325186,MTBS,Initial,90.0,380.0,9999.0,dnbr,37,LF2016_EVT,False,True,True,-116.6305,40.9465,Central Basin and Range
NV4137211687120170714,SNOWSTORM,2017-07-14,2017,Wildfire,621.4398684600001,MTBS,Initial,60.0,315.0,9999.0,dnbr,-26,LF2016_EVT,False,True,True,-116.69,41.4677,Northern Basin and Range
NV3976211925220170703,TRUCKEE,2017-07-03,2017,Wildfire,398.25553946,MTBS,Initial,25.0,9999.0,9999.0,dnbr,-18,LF2016_EVT,True,True,True,-119.1805,39.7779,Central Basin and Range
NV4027311946420170830,TOHAKUM 2,2017-08-29,2017,Wildfire,375.1884374600001,MTBS,Initial,25.0,320.0,9999.0,dnbr,2,LF2016_EVT,True,True,True,-119.3892,40.2942,Central Basin and Range
CA4007312014520170711,LONG VALLEY,2017-07-11,2017,Wildfire,325.59416816000004,MTBS,Initial,50.0,300.0,9999.0,dnbr,-23,LF2016_EVT,True,True,True,-119.9071,40.0098,Central Basin and Range
NV4171611419720170704,DRY GULCH,2017-07-04,2017,Wildfire,222.84439276,MTBS,Initial,80.0,315.0,9999.0,dnbr,40,LF2016_EVT,False,True,True,-114.2664,41.755,Northern Basin and Range
NV3958711968320170703,EARTHSTONE,2017-07-03,2017,Wildfire,142.8743923,MTBS,Initial,50.0,300.0,9999.0,dnbr,-21,LF2016_EVT,True,True,True,-119.5283,39.5977,Central Basin and Range
NV4099711542920170709,TaborFlatsRiverRanchNV,2017-07-09,2017,Unknown,115.67544624,MTBS,Initial,0.0,0.0,0.0,dnbr,0,LF2016_EVT,False,False,False,-115.3533,41.1454,Central Basin and Range
NV3941111789520170708,DRAW,2017-07-08,2017,Wildfire,109.56064078,MTBS,Initial,65.0,380.0,9999.0,dnbr,24,LF2016_EVT,False,True,True,-117.8825,39.4404,Central Basin and Range
NV4110111527920170708,TABOR FLATS,2017-07-08,2017,Wildfire,101.90802852,MTBS,Initial,50.0,350.0,9999.0,dnbr,-10,LF2016_EVT,False,True,True,-115.3478,41.1544,Central Basin and Range
NV4075511801620170714,MM 155,2017-07-14,2017,Wildfire,88.48054704,MTBS,Initial,50.0,380.0,9999.0,dnbr,16,LF2016_EVT,False,True,True,-117.8674,40.7156,Central Basin and Range
NV3917511814020170712,BRAVO17,2017-07-12,2017,Wildfire,87.25839532,MTBS,Initial,80.0,380.0,9999.0,dnbr,32,LF2016_EVT,False,True,True,-118.1741,39.1736,Central Basin and Range
NV4069711993420170830,R-4,2017-08-30,2017,Wildfire,73.03368242,MTBS,Initial,65.0,315.0,9999.0,dnbr,32,LF2016_EVT,False,True,True,-119.9026,40.7157,Northern Basin and Range
NV4055811852120170620,POKER BROWN,2017-06-20,2017,Wildfire,61.32611644,MTBS,Initial,75.0,305.0,9999.0,dnbr,39,LF2016_EVT,False,True,True,-118.5645,40.5516,Central Basin and Range
NV3975311771020170827,TUNGSTEN,2017-08-27,2017,Wildfire,60.18490192,MTBS,Extended,65.0,295.0,580.0,dnbr,18,LF2016_EVT,False,True,True,-117.734,39.7248,Central Basin and Range
NV4162111423720170801,DELANO,2017-08-01,2017,Wildfire,59.929949740000005,MTBS,Initial,25.0,300.0,9999.0,dnbr,4,LF2016_EVT,False,True,True,-114.24,41.5691,Northern Basin and Range
NV4033511827120170704,LIMERICK,2017-07-04,2017,Wildfire,59.46051398,MTBS,Initial,40.0,380.0,9999.0,dnbr,5,LF2016_EVT,False,True,True,-118.2121,40.3278,Central Basin and Range
NV4025811642420170912,COTTONWOOD,2017-09-12,2017,Wildfire,58.37190864,MTBS,Initial,65.0,315.0,9999.0,dnbr,37,LF2016_EVT,False,True,True,-116.4301,40.2358,Central Basin and Range
NV4157711634120170724,BlackPointNV,2017-07-24,2017,Unknown,52.297571780000006,BAER,,0.0,0.0,0.0,dnbr,0,LF2016_EVT,False,False,False,-116.3439,41.5748,Northern Basin and Range
NV4070611769720170717,GRASS VALLEY,2017-07-17,2017,Wildfire,45.03345808,MTBS,Initial,75.0,300.0,9999.0,dnbr,10,LF2016_EVT,False,True,True,-117.6141,40.6883,Central Basin and Range
NV4045411849020170620,TRINITY,2017-06-20,2017,Wildfire,43.85177496,MTBS,Initial,50.0,9999.0,9999.0,dnbr,23,LF2016_EVT,False,True,True,-118.4946,40.468,Central Basin and Range
NV3698611640020170830,TIMBER PEAK,2017-08-30,2017,Wildfire,43.10310586,MTBS,Initial,100.0,330.0,9999.0,dnbr,31,LF2016_EVT,False,True,True,-116.4412,36.9682,Mojave Basin and Range
NV4111111808920170808,DUNE,2017-08-08,2017,Wildfire,39.974883080000005,MTBS,Initial,50.0,300.0,9999.0,dnbr,-11,LF2016_EVT,False,True,True,-118.0108,41.1237,Central Basin and Range
CA3861911955720170829,SLINKARD,2017-08-29,2017,Wildfire,35.669024040000004,MTBS,Initial,40.0,320.0,650.0,dnbr,-18,LF2016_EVT,False,True,True,-119.5638,38.6604,Central Basin and Range
NV4090811577720170717,OIL WELL,2017-07-17,2017,Wildfire,29.2992664,MTBS,Initial,50.0,350.0,9999.0,dnbr,-28,LF2016_EVT,False,True,True,-115.7243,40.9167,Central Basin and Range
NV4036311743720170724,PHOENIX,2017-07-24,2017,Wildfire,27.95166202,MTBS,Initial,50.0,9999.0,9999.0,dnbr,-15,LF2016_EVT,False,True,True,-117.4493,40.3509,Central Basin and Range
NV4197911553720170823,DIAMOND A,2017-08-23,2017,Wildfire,26.907572140000003,MTBS,Initial,35.0,320.0,9999.0,dnbr,-37,LF2016_EVT,False,True,True,-115.5671,41.9789,Northern Basin and Range
NV4125511533320170730,POLE CREEK,2017-07-30,2017,Wildfire,26.510979860000003,MTBS,Initial,55.0,9999.0,9999.0,dnbr,21,LF2016_EVT,False,True,True,-115.3244,41.2284,Central Basin and Range
NV4058611611920170626,COLE CREEK,2017-06-26,2017,Wildfire,26.482651840000003,MTBS,Initial,70.0,375.0,9999.0,dnbr,9,LF2016_EVT,False,True,True,-116.0673,40.5831,Central Basin and Range
NV4006411810920170830,VISTA,2017-08-30,2017,Wildfire,24.750595760000003,MTBS,Initial,0.0,9999.0,9999.0,dnbr,-18,LF2016_EVT,False,True,True,-118.0844,40.0598,Central Basin and Range
NV4097111711220170830,VALMY,2017-08-30,2017,Wildfire,22.36699522,MTBS,Initial,50.0,9999.0,9999.0,dnbr,37,LF2016_EVT,False,True,True,-117.1094,40.9573,Central Basin and Range
NV3885411961720170724,PREACHER,2017-07-24,2017,Wildfire,21.5697638,MTBS,Initial,50.0,302.0,580.0,dnbr,-39,LF2016_EVT,False,True,True,-119.5946,38.8598,Central Basin and Range
NV3981911931420170620,HOLLYWOOD,2017-06-20,2017,Wildfire,21.45240486,MTBS,Initial,25.0,320.0,9999.0,dnbr,-3,LF2016_EVT,True,True,True,-119.2917,39.8197,Central Basin and Range
NV4051011575620170620,RED SPRINGS,2017-06-20,2017,Wildfire,19.21449128,MTBS,Initial,50.0,360.0,9999.0,dnbr,33,LF2016_EVT,False,True,True,-115.7491,40.5285,Central Basin and Range
OR4214111863020170724,UPPER MINE,2017-07-24,2017,Wildfire,18.72886808,MTBS,Initial,100.0,550.0,9999.0,dnbr,22,LF2016_EVT,False,True,True,-118.6244,42.1223,Northern Basin and Range
NV4182011866720170724,MAHOGANY,2017-07-24,2017,Wildfire,18.31608836,MTBS,Initial,80.0,400.0,700.0,dnbr,20,LF2016_EVT,False,True,True,-118.6617,41.8372,Northern Basin and Range
NV3976011968620170704,WINNEMUCCA RANCH,2017-07-04,2017,Wildfire,16.80660958,MTBS,Initial,50.0,300.0,9999.0,dnbr,-18,LF2016_EVT,True,True,True,-119.6481,39.7563,Central Basin and Range
NV3882011959620171003,CUTTER,2017-10-03,2017,Wildfire,16.4504859,MTBS,Extended,50.0,9999.0,9999.0,dnbr,21,LF2016_EVT,False,True,True,-119.6,38.8279,Central Basin and Range
NV4189911741020170731,QUINN,2017-07-31,2017,Wildfire,15.1150221,MTBS,Initial,40.0,320.0,9999.0,dnbr,8,LF2016_EVT,False,True,True,-117.4144,41.9,Northern Basin and Range
NV4153911876620170724,LEONARD CREEK,2017-07-24,2017,Wildfire,14.3056501,MTBS,Initial,100.0,9999.0,9999.0,dnbr,17,LF2016_EVT,False,True,True,-118.7746,41.551,Northern Basin and Range
NV4094011793320170709,BARRETT SPRINGS,2017-07-09,2017,Wildfire,13.53269984,MTBS,Initial,50.0,9999.0,9999.0,dnbr,24,LF2016_EVT,False,True,True,-117.9569,40.9408,Central Basin and Range
NV4094111731520170709,IRON POINT,2017-07-09,2017,Wildfire,13.1118264,MTBS,Initial,35.0,325.0,9999.0,dnbr,-22,LF2016_EVT,False,True,True,-117.3028,40.9337,Central Basin and Range
NV4117211573120170830,COAL,2017-08-30,2017,Wildfire,12.2012829,MTBS,Initial,50.0,350.0,9999.0,dnbr,43,LF2016_EVT,False,True,True,-115.6962,41.1742,Central Basin and Range
ID4206411655820170715,JUNI,2017-07-15,2017,Wildfire,11.40000462,MTBS,Initial,50.0,9999.0,9999.0,dnbr,38,LF2016_EVT,False,True,True,-116.4342,42.0684,Northern Basin and Range
NV4031211431920170708,WHITE HORSE,2017-07-07,2017,Wildfire,10.43280508,MTBS,Initial,35.0,310.0,9999.0,dnbr,-18,LF2016_EVT,False,True,True,-114.2971,40.3085,Central Basin and Range
NV4109811409020170813,PILOT VALLEY,2017-08-13,2017,Wildfire,10.43280508,MTBS,Initial,65.0,380.0,9999.0,dnbr,31,LF2016_EVT,False,True,True,-114.0938,41.1091,Central Basin and Range
NV4016211876720170723,TOULON,2017-07-23,2017,Wildfire,10.06049396,MTBS,Initial,50.0,9999.0,9999.0,dnbr,18,LF2016_EVT,False,True,True,-118.77,40.1621,Central Basin and Range
NV4152811742720180705,MARTIN,2018-07-05,2018,Wildfire,1748.9719548,MTBS,Initial,100.0,310.0,9999.0,dnbr,19,LF2016_EVT,False,True,True,-116.9747,41.6021,Northern Basin and Range
NV4181211632420180817,SOUTH SUGARLOAF,2018-08-17,2018,Wildfire,977.01722236,MTBS,Initial,80.0,300.0,540.0,dnbr,31,LF2016_EVT,False,True,True,-116.0054,41.7227,Northern Basin and Range
NV4180711406520180726,GOOSE CREEK,2018-07-26,2018,Wildfire,531.88690352,MTBS,Initial,65.0,370.0,9999.0,dnbr,19,LF2016_EVT,False,True,True,-114.0364,41.6158,Northern Basin and Range
ID4204811559720180724,BRUNEAU,2018-07-24,2018,Wildfire,354.82463794,MTBS,Initial,110.0,9999.0,9999.0,dnbr,14,LF2016_EVT,False,True,True,-115.625,42.1315,Northern Basin and Range
NV4077311684220180818,SHEEP CREEK,2018-08-18,2018,Wildfire,236.67251338000003,MTBS,Initial,35.0,400.0,9999.0,dnbr,18,LF2016_EVT,False,True,True,-116.7998,40.8101,Central Basin and Range
NV3986111961620180727,PERRY,2018-07-27,2018,Wildfire,217.45397524,MTBS,Initial,100.0,272.0,490.0,dnbr,21,LF2016_EVT,True,True,True,-119.5056,39.8096,Central Basin and Range
NV4006311484620180813,GOSHUTE CAVE,2018-08-13,2018,Wildfire,110.85563598,MTBS,Extended,65.0,305.0,535.0,dnbr,-10,LF2016_EVT,False,True,True,-114.842,40.1154,Central Basin and Range
NV4064611615820180823,COUNTY LINE,2018-08-23,2018,Wildfire,52.669882900000005,MTBS,Initial,35.0,300.0,9999.0,dnbr,16,LF2016_EVT,False,True,True,-116.0972,40.6173,Central Basin and Range
ID4203511639220180716,WEST DUCK,2018-07-16,2018,Wildfire,45.29245712,MTBS,Initial,75.0,280.0,9999.0,dnbr,11,LF2016_EVT,False,True,True,-116.383,41.9843,Northern Basin and Range
NV4076011752020180724,GREGG,2018-07-24,2018,Wildfire,41.561252200000006,MTBS,Initial,40.0,300.0,9999.0,dnbr,18,LF2016_EVT,False,True,True,-117.4991,40.7689,Central Basin and Range
NV4073711459620180701,HOGAN,2018-07-01,2018,Wildfire,40.43622512,MTBS,Extended,65.0,295.0,520.0,dnbr,-25,LF2016_EVT,False,True,True,-114.5702,40.6711,Central Basin and Range
NV4067411551020180930,RANGE TWO,2018-09-30,2018,Wildfire,37.88265646,MTBS,Extended,20.0,259.0,520.0,dnbr,-22,LF2016_EVT,False,True,True,-115.4562,40.6678,Central Basin and Range
CA3839611945120180904,BOOT,2018-09-04,2018,Wildfire,28.1459113,MTBS,Extended,60.0,276.0,525.0,dnbr,-10,LF2016_EVT,False,True,True,-119.4358,38.3881,Central Basin and Range
NV4069611507520180705,ECHO,2018-07-05,2018,Wildfire,24.55634648,MTBS,Initial,40.0,330.0,470.0,dnbr,11,LF2016_EVT,False,True,True,-115.0636,40.7388,Central Basin and Range
NV4194911609820180721,OWYHEE,2018-07-21,2018,Wildfire,21.63856042,MTBS,Extended,10.0,240.0,435.0,dnbr,-13,LF2016_EVT,False,True,True,-116.0793,41.9481,Northern Basin and Range
NV4130311596620180903,GANCE,2018-09-03,2018,Wildfire,21.60213868,MTBS,Initial,70.0,480.0,775.0,dnbr,27,LF2016_EVT,False,True,True,-115.9504,41.2824,Central Basin and Range
NV4130611477420180701,HD,2018-07-01,2018,Wildfire,19.99553526,MTBS,Initial,130.0,9999.0,9999.0,dnbr,-1,LF2016_EVT,False,True,True,-114.7322,41.3217,Northern Basin and Range
NV4127811541520180716,STAG,2018-07-16,2018,Wildfire,16.72162552,MTBS,Initial,85.0,310.0,9999.0,dnbr,23,LF2016_EVT,False,True,True,-115.4129,41.2504,Central Basin and Range
NV4048111917220180723,KUMIVA,2018-07-23,2018,Wildfire,16.05389362,MTBS,Initial,80.0,9999.0,9999.0,dnbr,47,LF2016_EVT,False,True,True,-119.1607,40.4743,Central Basin and Range
NV4090511565520180714,SILVER STATE,2018-07-14,2018,Wildfire,15.24047476,MTBS,Initial,50.0,340.0,515.0,dnbr,20,LF2016_EVT,False,True,True,-115.6697,40.8861,Central Basin and Range
NV3928711942120180603,CHAVES,2018-06-03,2018,Wildfire,14.779132720000002,MTBS,Initial,60.0,320.0,9999.0,dnbr,38,LF2016_EVT,False,True,True,-119.4129,39.3003,Central Basin and Range
NV4019211447220180704,BOONE SPRINGS,2018-07-04,2018,Wildfire,12.29436068,MTBS,Initial,20.0,280.0,9999.0,dnbr,-13,LF2016_EVT,False,True,True,-114.4701,40.2291,Central Basin and Range
NV4047911681120180721,CRUM,2018-07-21,2018,Wildfire,11.21789592,MTBS,Initial,20.0,225.0,9999.0,dnbr,19,LF2016_EVT,False,True,True,-116.7997,40.4998,Central Basin and Range
NV4031211561920190804,CORTA,2019-08-04,2019,Wildfire,67.8456079,MTBS,Extended,120.0,291.0,510.0,dnbr,72,LF2016_EVT,False,True,True,-115.5703,40.3167,Central Basin and Range
NV4193711416620190804,GOOSE,2019-08-04,2019,Wildfire,27.73717844,MTBS,Extended,85.0,248.0,455.0,dnbr,32,LF2016_EVT,False,True,True,-114.1787,41.9511,Northern Basin and Range
NV4073111456120190804,SHAFTER,2019-08-04,2019,Wildfire,27.13014944,MTBS,Initial,40.0,239.0,470.0,dnbr,21,LF2016_EVT,False,True,True,-114.5511,40.7929,Central Basin and Range
NV4064811732520190722,SUMMIT,2019-07-22,2019,Wildfire,26.68499484,MTBS,Initial,30.0,9999.0,9999.0,dnbr,-12,LF2016_EVT,False,True,True,-117.3519,40.6634,Central Basin and Range
NV4069611736820190706,BUFFALO,2019-07-06,2019,Wildfire,26.284355700000003,MTBS,Initial,40.0,9999.0,9999.0,dnbr,-8,LF2016_EVT,False,True,True,-117.3753,40.7022,Central Basin and Range
NV3616411427620190725,BONELLI PEAK,2019-07-25,2019,Wildfire,16.59617286,MTBS,Initial,40.0,9999.0,9999.0,dnbr,15,LF2016_EVT,False,True,True,-114.2487,36.1683,Mojave Basin and Range
NV4006711564620190902,CHERRY,2019-09-02,2019,Wildfire,14.90053852,MTBS,Extended,100.0,270.0,480.0,dnbr,58,LF2016_EVT,False,True,True,-115.6355,40.0972,Central Basin and Range
NV3721011487220190823,GREGERSON,2019-08-23,2019,Wildfire,12.97828002,MTBS,Initial,10.0,9999.0,9999.0,dnbr,-22,LF2016_EVT,False,True,True,-114.9073,37.2114,Mojave Basin and Range
ID4209111416920200912,BADGER,2020-09-12,2020,Wildfire,361.88640864,PROVISIONAL,Initial,70.0,370.0,660.0,dnbr,31,LF2016_EVT,False,True,True,-114.1983,42.225,Northern Basin and Range
CA4102912028120200818,W-5 COLD SPRINGS,2020-08-18,2020,Wildfire,341.82207676,PROVISIONAL,Initial,70.0,410.0,710.0,dnbr,25,LF2016_EVT,False,True,True,-120.08,41.0948,Northern Basin and Range
NV3716311461020200708,MEADOW VALLEY,2020-07-08,2020,Wildfire,239.79264244,MTBS,Initial,40.0,295.0,9999.0,dnbr,1,LF2016_EVT,False,True,True,-114.5965,37.1921,Mojave Basin and Range
CA3968112017120200814,LOYALTON,2020-08-14,2020,Wildfire,184.06738024,MTBS,Initial,40.0,309.0,600.0,dnbr,-3,LF2016_EVT,True,True,True,-120.1089,39.7066,Sierra Nevada
AZ3652211386520200510,BASIN,2020-05-10,2020,Wildfire,156.16023368,MTBS,Initial,85.0,375.0,9999.0,dnbr,-5,LF2016_EVT,False,True,True,-113.8611,36.5652,Mojave Basin and Range
CA3983312003820200802,NORTH,2020-08-02,2020,Wildfire,138.0788632,MTBS,Initial,45.0,320.0,560.0,dnbr,-7,LF2016_EVT,True,True,True,-119.9898,39.8491,Central Basin and Range
CA3856811956820200830,SLINK,2020-08-30,2020,Wildfire,106.98683782,MTBS,Extended,45.0,350.0,675.0,dnbr,10,LF2016_EVT,False,True,True,-119.5666,38.5221,Sierra Nevada
NV3746711499420200626,TWIN,2020-06-26,2020,Wildfire,100.32570626,MTBS,Initial,20.0,245.0,360.0,dnbr,2,LF2016_EVT,False,True,True,-115.0091,37.4826,Central Basin and Range
NV3884311963920200707,NUMBERS,2020-07-07,2020,Wildfire,76.88224628,MTBS,Initial,40.0,220.0,470.0,dnbr,14,LF2016_EVT,False,True,True,-119.5796,38.863,Central Basin and Range
CA3851511946520201117,MOUNTAIN VIEW,2020-11-17,2020,Wildfire,58.33953376,MTBS,Extended,50.0,205.0,400.0,dnbr,-9,LF2016_EVT,False,True,True,-119.4072,38.5593,Central Basin and Range
NV4083911966720200812,POODLE,2020-08-12,2020,Wildfire,55.51077862,MTBS,Initial,55.0,355.0,9999.0,dnbr,17,LF2016_EVT,False,True,True,-119.5915,40.8672,Northern Basin and Range
NV3736211460420200729,BISHOP,2020-07-29,2020,Wildfire,51.346559680000006,MTBS,Initial,40.0,215.0,425.0,dnbr,4,LF2016_EVT,False,True,True,-114.602,37.4007,Central Basin and Range
