EVT_Code,N,Weibull_Lambda_Scale,Weibull_Kappa_Shape,Weibull_R2,Weibull_RMSE,CLASSNAME
3001,338796,0.632514,8.408742,0.98966,0.045006,Inter-Mountain Basins Sparsely Vegetated Systems
3002,67965,0.632444,9.325526,0.978858,0.061656,Mediterranean California Sparsely Vegetated Systems
3003,10499,0.653431,6.778563,0.955863,0.080305,North Pacific Sparsely Vegetated Systems
3004,96310,0.583668,11.017459,0.973048,0.074252,North American Warm Desert Sparsely Vegetated Systems
3006,219834,0.643514,7.642705,0.986422,0.050585,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
3007,18364,0.582511,10.815818,0.962322,0.082776,Western Great Plains Sparsely Vegetated Systems
3008,32054,0.706348,8.195769,0.991707,0.036027,North Pacific Oak Woodland
3009,46,0.707891,7.000488,0.981653,0.040115,Northwestern Great Plains Aspen Forest and Parkland
3011,1277585,0.69898,6.955144,0.99276,0.035878,Rocky Mountain Aspen Forest and Woodland
3012,91564,0.722278,6.886242,0.990806,0.038587,Rocky Mountain Bigtooth Maple Ravine Woodland
3014,1335617,0.773143,7.918473,0.997317,0.020404,Central and Southern California Mixed Evergreen Woodland
3015,201656,0.647936,8.099978,0.984417,0.053263,California Coastal Redwood Forest
3016,2150058,0.668548,7.90239,0.994173,0.033557,Colorado Plateau Pinyon-Juniper Woodland
3017,507394,0.638473,8.835191,0.989828,0.045369,Columbia Plateau Western Juniper Woodland and Savanna
3018,372550,0.728296,5.920661,0.978889,0.057252,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
3019,3164098,0.668816,9.481709,0.996047,0.027702,Great Basin Pinyon-Juniper Woodland
3020,16597,0.671331,7.593489,0.972186,0.061739,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
3021,43415,0.763766,7.924175,0.987909,0.040295,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland
3022,189174,0.77438,7.449429,0.987207,0.043812,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland
3023,917317,0.663961,8.075642,0.986097,0.05219,Madrean Encinal
3024,1108549,0.692509,7.267266,0.991267,0.040031,Madrean Lower Montane Pine-Oak Forest and Woodland
3025,1845334,0.663195,7.387946,0.989714,0.044679,Madrean Pinyon-Juniper Woodland
3026,17515,0.687602,7.752852,0.988235,0.040483,Madrean Upper Montane Conifer-Oak Forest and Woodland
3027,2389414,0.736717,6.493999,0.985254,0.048526,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland
3028,2695374,0.731633,5.979007,0.976466,0.061385,Mediterranean California Mesic Mixed Conifer Forest and Woodland
