EVT_Code,N,Weibull_Lambda_Scale,Weibull_Kappa_Shape,Weibull_R2,Weibull_RMSE,CLASSNAME,source
3001,338796,0.632514,8.408742,0.98966,0.045006,Inter-Mountain Basins Sparsely Vegetated Systems,staley2018
3002,67965,0.632444,9.325526,0.978858,0.061656,Mediterranean California Sparsely Vegetated Systems,staley2018
3003,10499,0.653431,6.778563,0.955863,0.080305,North Pacific Sparsely Vegetated Systems,staley2018
3004,96310,0.583668,11.017459,0.973048,0.074252,North American Warm Desert Sparsely Vegetated Systems,staley2018
3006,219834,0.643514,7.642705,0.986422,0.050585,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,staley2018
3007,18364,0.582511,10.815818,0.962322,0.082776,Western Great Plains Sparsely Vegetated Systems,staley2018
3008,32054,0.706348,8.195769,0.991707,0.036027,North Pacific Oak Woodland,staley2018
3009,46,0.707891,7.000488,0.981653,0.040115,Northwestern Great Plains Aspen Forest and Parkland,staley2018
3011,2184,0.8380380911834647,6.664076479864674,0.964443261308793,0.0427907082515427,Rocky Mountain Aspen Forest and Woodland,nv_refit
3012,91564,0.722278,6.886242,0.990806,0.038587,Rocky Mountain Bigtooth Maple Ravine Woodland,staley2018
3014,1335617,0.773143,7.918473,0.997317,0.020404,Central and Southern California Mixed Evergreen Woodland,staley2018
3015,201656,0.647936,8.099978,0.984417,0.053263,California Coastal Redwood Forest,staley2018
3016,2150058,0.668548,7.90239,0.994173,0.033557,Colorado Plateau Pinyon-Juniper Woodland,staley2018
3017,507394,0.638473,8.835191,0.989828,0.045369,Columbia Plateau Western Juniper Woodland and Savanna,staley2018
3018,372550,0.728296,5.920661,0.978889,0.057252,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,staley2018
3019,136728,0.6552998531004978,9.477871410365914,0.9521489645435378,0.0242018960116123,Great Basin Pinyon-Juniper Woodland,nv_refit
3020,16597,0.671331,7.593489,0.972186,0.061739,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,staley2018
3021,43415,0.763766,7.924175,0.987909,0.040295,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,staley2018
3022,189174,0.77438,7.449429,0.987207,0.043812,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,staley2018
3023,917317,0.663961,8.075642,0.986097,0.05219,Madrean Encinal,staley2018
3024,1108549,0.692509,7.267266,0.991267,0.040031,Madrean Lower Montane Pine-Oak Forest and Woodland,staley2018
3025,1845334,0.663195,7.387946,0.989714,0.044679,Madrean Pinyon-Juniper Woodland,staley2018
3026,17515,0.687602,7.752852,0.988235,0.040483,Madrean Upper Montane Conifer-Oak Forest and Woodland,staley2018
3027,49010,0.8490162718128702,8.162340031836136,0.9829517240411152,0.0259806398189495,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,nv_refit
3028,55842,0.8556600510295965,8.720966619923747,0.9823396339792936,0.0253154434202358,Mediterranean California Mesic Mixed Conifer Forest and Woodland,nv_refit
3029,1040233,0.733078,7.114673,0.989772,0.040963,Mediterranean California Mixed Oak Woodland,staley2018
3030,6476,0.7765534719271776,9.647385369496,0.9605784533388468,0.0359134763056838,Mediterranean California Lower Montane Conifer Forest and Woodland,nv_refit
3031,142071,0.792890856817245,8.01620622379863,0.9553659907413132,0.0367299085339807,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,nv_refit
3032,640001,0.684612,6.265625,0.972166,0.069687,Mediterranean California Red Fir Forest,staley2018
3033,2078,0.8281782578105541,7.412584053282597,0.9575058206798256,0.0388827943958948,Mediterranean California Subalpine Woodland,nv_refit
3034,78319,0.67718,8.071193,0.986842,0.046581,Mediterranean California Mesic Serpentine Woodland and Chaparral,staley2018
3035,28710,0.738176,6.078228,0.966727,0.063645,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,staley2018
3036,4858,0.687317,14.380871,0.994595,0.027329,North Pacific Hypermaritime Seasonal Sitka Spruce Forest,staley2018
3037,331647,0.747749,5.959131,0.973384,0.061457,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,staley2018
3038,10454,0.774811,5.055087,0.926904,0.081234,North Pacific Maritime Mesic Subalpine Parkland,staley2018
3039,16141,0.707391,6.776358,0.973235,0.055848,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,staley2018
3041,162150,0.790366,6.48035,0.989214,0.037535,North Pacific Mountain Hemlock Forest,staley2018
3042,44219,0.773405,6.037758,0.98216,0.047194,North Pacific Mesic Western Hemlock-Silver Fir Forest,staley2018
3043,1848922,0.76385,6.30255,0.984565,0.046938,Mediterranean California Mixed Evergreen Forest,staley2018
3044,2852,0.8771980197383822,8.66924866647883,0.979496975699634,0.037817211014826,Northern California Mesic Subalpine Woodland,nv_refit
3045,3333273,0.743299,5.74584,0.984383,0.048404,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,staley2018
3046,1722094,0.779638,6.118671,0.99199,0.032184,Northern Rocky Mountain Subalpine Woodland and Parkland,staley2018
3047,263709,0.7192,5.697763,0.97147,0.067814,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,staley2018
3048,1246,0.819185,6.503533,0.946006,0.066203,Northwestern Great Plains Highland White Spruce Woodland,staley2018
3049,139558,0.673394,6.847845,0.994052,0.032276,Rocky Mountain Foothill Limber Pine-Juniper Woodland,staley2018
3050,1586425,0.800137,6.22125,0.99116,0.032422,Rocky Mountain Lodgepole Pine Forest,staley2018
3051,1500806,0.701717,6.770211,0.990595,0.040768,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,staley2018
3052,1092757,0.729264,6.451631,0.993791,0.03149,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,staley2018
3053,1672541,0.684154,6.759456,0.985495,0.052019,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,staley2018
3054,5312115,0.652131,7.095453,0.98837,0.047432,Southern Rocky Mountain Ponderosa Pine Woodland,staley2018
3055,2244470,0.79814,6.264928,0.993521,0.027855,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,staley2018
3056,2709801,0.79814,5.937163,0.988351,0.037029,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,staley2018
3057,19341,0.690934,7.25091,0.985174,0.04419,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,staley2018
3058,3258,0.8329259859772729,7.041520553561713,0.9641092088318084,0.0320713152164323,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,nv_refit
3059,289780,0.631867,8.617233,0.982424,0.05927,Southern Rocky Mountain Pinyon-Juniper Woodland,staley2018
3060,24923,0.616876,9.332206,0.992537,0.034526,East Cascades Ponderosa Pine Forest and Woodland,staley2018
3061,906811,0.71006,6.566425,0.99265,0.035397,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,staley2018
3062,9496,0.7696191040125449,7.694892334736204,0.951851269904336,0.0449760715978127,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,nv_refit
3063,4483,0.669763,8.055613,0.987232,0.039918,North Pacific Broadleaf Landslide Forest and Shrubland,staley2018
3064,44903,0.636309,9.294118,0.981141,0.05788,Colorado Plateau Mixed Low Sagebrush Shrubland,staley2018
3065,162151,0.633478,9.620666,0.981924,0.059117,Columbia Plateau Scabland Shrubland,staley2018
3066,2945,0.558978,14.025179,0.889202,0.110002,Inter-Mountain Basins Mat Saltbush Shrubland,staley2018
3068,181527,0.841242,9.105216,0.99862,0.013372,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,staley2018
3070,3861,0.647833,6.925736,0.972686,0.060507,Rocky Mountain Alpine Dwarf-Shrubland,staley2018
3071,1716,0.637973,9.624375,0.963567,0.061952,Sierra Nevada Alpine Dwarf-Shrubland,staley2018
3072,10637,0.608876,9.554256,0.970263,0.071264,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,staley2018
3074,83905,0.595276,12.689444,0.978466,0.059836,Chihuahuan Creosotebush Desert Scrub,staley2018
3075,60372,0.603175,13.493303,0.991476,0.039601,Chihuahuan Mixed Salt Desert Scrub,staley2018
3076,29619,0.568508,19.890487,0.96674,0.074808,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,staley2018
3077,15284,0.601173,10.759144,0.945164,0.079358,Chihuahuan Succulent Desert Scrub,staley2018
3078,6392,0.593225,22.948819,0.986773,0.044193,Colorado Plateau Blackbrush-Mormon-tea Shrubland,staley2018
3079,111750,0.6270490262665772,10.94251533827746,0.9133588193242116,0.047338702027661,Great Basin Xeric Mixed Sagebrush Shrubland,nv_refit
3080,364913,0.6139250041245126,14.492679241529215,0.9703153492829184,0.0239434847106044,Inter-Mountain Basins Big Sagebrush Shrubland,nv_refit
3081,16163,0.5959917594945542,14.89103805808984,0.9653632631258392,0.028239340799841,Inter-Mountain Basins Mixed Salt Desert Scrub,nv_refit
3082,3152915,0.601524,11.185928,0.987829,0.050825,Mojave Mid-Elevation Mixed Desert Scrub,staley2018
3083,21603,0.726307,7.633421,0.990937,0.036635,North Pacific Avalanche Chute Shrubland,staley2018
3084,12597,0.67981,6.273912,0.985648,0.044925,North Pacific Montane Shrubland,staley2018
3085,58009,0.640443,5.517478,0.99702,0.020911,Northwestern Great Plains Shrubland,staley2018
3086,2554,0.6457079913809965,11.74571145894463,0.9550639721685876,0.0209170958176458,Rocky Mountain Lower Montane-Foothill Shrubland,nv_refit
