EVT_Code,N,Weibull_Lambda_Scale,Weibull_Kappa_Shape,Weibull_R2,Weibull_RMSE,CLASSNAME
3011,2184,0.8380380911834647,6.664076479864674,0.964443261308793,0.042790708251542735,Rocky Mountain Aspen Forest and Woodland
3019,136728,0.6552998531004978,9.477871410365914,0.9521489645435378,0.02420189601161233,Great Basin Pinyon-Juniper Woodland
3027,49010,0.8490162718128702,8.162340031836136,0.9829517240411151,0.02598063981894953,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland
3028,55842,0.8556600510295965,8.720966619923747,0.9823396339792935,0.025315443420235843,Mediterranean California Mesic Mixed Conifer Forest and Woodland
3030,6476,0.7765534719271776,9.647385369496,0.9605784533388467,0.035913476305683895,Mediterranean California Lower Montane Conifer Forest and Woodland
3031,142071,0.792890856817245,8.01620622379863,0.9553659907413131,0.03672990853398076,California Montane Jeffrey Pine-(Ponderosa Pine) Woodland
3033,2078,0.8281782578105541,7.412584053282597,0.9575058206798255,0.038882794395894885,Mediterranean California Subalpine Woodland
3044,2852,0.8771980197383822,8.66924866647883,0.979496975699634,0.03781721101482607,Northern California Mesic Subalpine Woodland
3058,3258,0.8329259859772729,7.041520553561713,0.9641092088318085,0.032071315216432326,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland
3062,9496,0.7696191040125449,7.694892334736204,0.951851269904336,0.044976071597812736,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland
3079,111750,0.6270490262665772,10.94251533827746,0.9133588193242116,0.04733870202766102,Great Basin Xeric Mixed Sagebrush Shrubland
3080,364913,0.6139250041245126,14.492679241529217,0.9703153492829184,0.023943484710604455,Inter-Mountain Basins Big Sagebrush Shrubland
3081,16163,0.5959917594945542,14.89103805808984,0.9653632631258392,0.02823934079984109,Inter-Mountain Basins Mixed Salt Desert Scrub
3086,2554,0.6457079913809965,11.74571145894463,0.9550639721685877,0.020917095817645812,Rocky Mountain Lower Montane-Foothill Shrubland
3098,173468,0.7316822810837714,10.229011842816474,0.9611299859195739,0.03778907742904651,California Montane Woodland and Chaparral
3125,8298,0.6309629063193946,15.924675410914622,0.9797324238224939,0.02849255658091981,Inter-Mountain Basins Big Sagebrush Steppe
3126,361923,0.643168013339495,12.484564250109656,0.977389127102385,0.02830369022460907,Inter-Mountain Basins Montane Sagebrush Steppe
3127,4049,0.625878119329578,13.13085521160221,0.9804678156891962,0.013983540577813465,Inter-Mountain Basins Semi-Desert Shrub-Steppe
3135,8607,0.6532334644376151,11.125828669234147,0.9961075225032069,0.0072073160044332915,Inter-Mountain Basins Semi-Desert Grassland
3137,2043,0.7340872724840364,7.212243153209281,0.9651588373057589,0.025927470835879752,Mediterranean California Subalpine Meadow
3146,2981,0.6544231671969309,14.06212392582394,0.9709194438375842,0.04786587204754501,Southern Rocky Mountain Montane-Subalpine Grassland
3153,8427,0.5734798411103652,13.121911610936555,0.9531884643432337,0.0297765109333472,Inter-Mountain Basins Greasewood Flat
3181,161409,0.6605602175069683,13.14217329165769,0.9800561862322772,0.02862007324236097,Great Basin & Intermountain Introduced Annual Grassland
3182,21949,0.6662977728989231,10.446797981546348,0.9864474808303311,0.014177817273472016,Great Basin & Intermountain Introduced Perennial Grassland and Forbland
3183,13384,0.6569411782534215,12.749904220616623,0.9821918175615932,0.025214134314594894,Great Basin & Intermountain Introduced Annual and Biennial Forbland
3195,7925,0.6231489363123077,5.648344632668802,0.8576944013939333,0.06246487454962329,Recently Burned-Herb and Grass Cover
3255,2174,0.6797795779957311,8.42305815427113,0.9655412339416328,0.027638351261974597,Great Basin Foothill and Lower Montane Riparian Shrubland
3299,3159,0.6167282554798288,11.017618822628915,0.874142024234275,0.061830258584819095,Developed-Roads
3943,265333,0.6186599362094031,13.758520276164024,0.9640858789932918,0.027547335799731957,Western Cool Temperate Developed Ruderal Shrub Wetland
7196,4444,0.6787367561521546,11.521804921299552,0.9261009127134647,0.043402835612285105,
9006,10364,0.6164551892272155,13.25995316986586,0.9638377098044695,0.026227972967188467,
9129,2473,0.8109187201130731,7.160681460527171,0.9669651323457654,0.03322741278195026,
9213,43089,0.6737911496498582,9.998282657494252,0.9507690091652434,0.030898760911255298,
9272,3670,0.6937997414603768,5.908600748570056,0.9386890932590035,0.03989506641460406,
9629,2377,0.697881645665731,7.743504552085562,0.9424859136598062,0.03927327885433347,
